"","Unnamed..0","tissue","endometriosis","severity","p204598_at","p215544_s_at","UBOX5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.54048548103712,5.41943642534714,4.97996095319213
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.54048548103712,4.66287695372827,4.6016812173827
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.75345561964989,5.41943642534714,4.58644602249851
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.55472836646726,5.22868291304498,4.89170563975612
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.54048548103712,4.19283346948348,4.3666594752603
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.75536291550196,5.41943642534714,5.08739967042455
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.76227004702534,5.04526769105464,4.90376886903999
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.666112628747,4.89591748807911,4.78101505841306
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.54048548103712,4.68320406379449,4.6118447724158
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.71094266946186,5.38829516310005,5.04961891628096
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.75258028239687,4.9441744426797,4.84837736253828
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.4848191294607,4.7913017826429,4.6380604560518
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.54048548103712,5.41943642534714,4.97996095319213
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.56516704672233,5.41943642534714,4.99230173603473
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.98076896340324,5.41513310871695,5.1979510360601
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.75536291550196,5.50128445174456,5.12832368362326
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.58453125533604,5.41943642534714,5.00198384034159
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.3786907111551,5.06008933484773,4.71939002300141
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.38736676647518,4.99367203305842,4.6905193997668
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.73542207210259,6.44420046165887,6.58981126688073
